id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
66,"inh","357  359","intensity","2016/08/10","00152",11,"Cell 2 - on parasol","keep",357,359,0.252990729825726,0.199407172495471,-65.5384267238982,209.247759527632,2,66
67,"cell-attach","453  350","image","2016/08/10","00152",12,"Cell 2 - on parasol","keep",453,350,0.209307676498195,0.199407172495471,-1.81453371723769,2.45410385056263,2,67
68,"exc","453  350","image","2016/08/10","00152",12,"Cell 2 - on parasol","keep",453,350,0.209307676498195,0.199407172495471,28.586916631179,9.12787940191693,2,68
69,"inh","453  350","image","2016/08/10","00152",12,"Cell 2 - on parasol","keep",453,350,0.209307676498195,0.199407172495471,885.2891310871,127.535910831652,2,69
70,"cell-attach","453  350","intensity","2016/08/10","00152",12,"Cell 2 - on parasol","keep",453,350,0.209307676498195,0.199407172495471,1.36491081248111,2.99467370254922,2,70
71,"exc","453  350","intensity","2016/08/10","00152",12,"Cell 2 - on parasol","keep",453,350,0.209307676498195,0.199407172495471,-13.6205251814546,9.4735213895151,2,71
72,"inh","453  350","intensity","2016/08/10","00152",12,"Cell 2 - on parasol","keep",453,350,0.209307676498195,0.199407172495471,-276.022135046356,104.174191960567,2,72
73,"cell-attach","1259   598","image","2016/08/10","00152",13,"Cell 2 - on parasol","keep",1259,598,0.252137369680494,0.199407172495471,7.30616721630333,5.49240494520398,2,73
74,"exc","1259   598","image","2016/08/10","00152",13,"Cell 2 - on parasol","keep",1259,598,0.252137369680494,0.199407172495471,-193.692797540388,21.349645771228,2,74
75,"inh","1259   598","image","2016/08/10","00152",13,"Cell 2 - on parasol","keep",1259,598,0.252137369680494,0.199407172495471,67.4076212812066,32.1110361986665,2,75
76,"cell-attach","1259   598","intensity","2016/08/10","00152",13,"Cell 2 - on parasol","keep",1259,598,0.252137369680494,0.199407172495471,3.83365825223864,3.70744282533493,2,76
77,"exc","1259   598","intensity","2016/08/10","00152",13,"Cell 2 - on parasol","keep",1259,598,0.252137369680494,0.199407172495471,-151.599909262606,20.9794793894466,2,77
78,"inh","1259   598","intensity","2016/08/10","00152",13,"Cell 2 - on parasol","keep",1259,598,0.252137369680494,0.199407172495471,90.6804510983544,147.09771846075,2,78
79,"cell-attach","1209   261","image","2016/08/10","00152",14,"Cell 2 - on parasol","keep",1209,261,0.285478145666678,0.199407172495471,11.0577796112667,8.96378542621505,2,79
80,"exc","1209   261","image","2016/08/10","00152",14,"Cell 2 - on parasol","keep",1209,261,0.285478145666678,0.199407172495471,-424.650895209425,41.9322497561937,2,80
81,"inh","1209   261","image","2016/08/10","00152",14,"Cell 2 - on parasol","keep",1209,261,0.285478145666678,0.199407172495471,124.016966668758,131.599898042438,2,81
82,"cell-attach","1209   261","intensity","2016/08/10","00152",14,"Cell 2 - on parasol","keep",1209,261,0.285478145666678,0.199407172495471,7.93010872157569,7.42985037935438,2,82
83,"exc","1209   261","intensity","2016/08/10","00152",14,"Cell 2 - on parasol","keep",1209,261,0.285478145666678,0.199407172495471,-314.748603718982,26.6036662588882,2,83
